timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
50578717,0.00734144,-0.0202783,-0.00724189,0.819491,-0.0390685,-0.0265243,-0.571144,0.931081,0.00216238,0.0119804,-0.364609,1
50610697,0.036697,0.0515096,0.00746215,0.819355,-0.037378,-0.0266835,-0.571445,0.931081,0.00216238,0.0119804,-0.364609,1
50642752,-0.0296574,0.000217327,0.019847,0.819388,-0.0364475,-0.0261461,-0.571482,0.931081,0.00216238,0.0119804,-0.364609,1
50674714,0.0310717,-0.0186698,-0.00303031,0.819321,-0.0358779,-0.0265032,-0.571597,0.931081,0.00216238,0.0119804,-0.364609,1
50706825,-0.0270622,0.0351159,-0.00786548,0.819136,-0.0349059,-0.0264234,-0.571926,0.931081,0.00216238,0.0119804,-0.364609,1
50738680,-0.0390202,0.0174772,-0.000108876,0.818983,-0.0345547,-0.0256256,-0.572203,0.931081,0.00216238,0.0119804,-0.364609,1
50767644,-0.0038801,-0.00197245,0.00345614,0.8189,-0.0339849,-0.0253877,-0.572367,0.931081,0.00216238,0.0119804,-0.364609,1
50799605,0.00570934,0.0102624,-0.00796156,0.818814,-0.0330113,-0.0254895,-0.572542,0.931081,0.00216238,0.0119804,-0.364609,1
50831491,-0.0466344,0.0284613,0.00682065,0.818695,-0.0323214,-0.0249322,-0.572776,0.931081,0.00216238,0.0119804,-0.364609,1
50863655,-0.0133989,-0.0268611,0.0102282,0.818626,-0.0320357,-0.0247099,-0.572901,0.931081,0.00216238,0.0119804,-0.364609,1
50896318,-0.0288881,-0.0320344,0.0219989,0.81864,-0.0318408,-0.0249573,-0.57288,0.931081,0.00216238,0.0119804,-0.364609,1
50928385,0.000555706,-0.0341231,0.00510248,0.818604,-0.0319837,-0.0252398,-0.572912,0.931081,0.00216238,0.0119804,-0.364609,1
